,type,multinomialNBaverage_precision_score,multinomialNBcohen_kappa_score,multinomialNBroc_auc_score,LinearSVCaverage_precision_score,LinearSVCroc_auc_score,LinearSVCcohen_kappa_score,SGDClassifieraverage_precision_score,SGDClassifierroc_auc_score,SGDClassifiercohen_kappa_score,SVC_sumaverage_precision_score,SVC_sumroc_auc_score,SVC_sumcohen_kappa_score,SGD_sumaverage_precision_score,SGD_sumroc_auc_score,SGD_sumcohen_kappa_score,NB_sumaverage_precision_score,NB_sumroc_auc_score,NB_sumcohen_kappa_score,SVC_simpaverage_precision_score,SVC_simproc_auc_score,SVC_simpcohen_kappa_score,SGD_simpaverage_precision_score,SGD_simproc_auc_score,SGD_simpcohen_kappa_score,NB_simpaverage_precision_score,NB_simproc_auc_score,NB_simpcohen_kappa_score,SVC_randaverage_precision_score,SVC_randroc_auc_score,SVC_randcohen_kappa_score,SGD_randaverage_precision_score,SGD_randroc_auc_score,SGD_randcohen_kappa_score,NB_randaverage_precision_score,NB_randroc_auc_score,NB_randcohen_kappa_score
0,type_business,0.9300746226011805,0.9123037509032386,0.9833465085638998,0.9785737587849199,0.9914097496706191,0.92268626795857,0.9553589260647513,0.977364953886693,0.9174506426394594,0.8947205115467007,0.9561791831357049,0.7276806962670836,0.9041976100475725,0.961080368906456,0.839425325760107,0.9131461960991879,0.9730171277997366,0.8113157546044786,0.8958216158814992,0.9494071146245059,0.8112988167703987,0.8986775843267596,0.9457707509881423,0.8080345106497708,0.9053228210932635,0.9634782608695653,0.8647684481733501,0.7246935292474246,0.8654808959156786,0.498624394078344,0.7961249949702052,0.8911198945981555,0.5685837809511332,0.8517707605298642,0.9341238471673254,0.7002986212592922
1,type_entertainment,0.9692460014008699,0.9497269817360195,0.9967232648197796,0.9900348338854027,0.9978403336312183,0.9578670302410573,0.9799401749657324,0.9938188859100388,0.9132621238110089,0.9331252403927377,0.9858504617217754,0.8069109699814603,0.8897784300623416,0.96149836163241,0.7869794159885113,0.9375799759719028,0.9794086982424783,0.8904542786267492,0.8544621926842145,0.9646261543044384,0.7731080195207225,0.916564061339934,0.9744563598450998,0.7940310665950789,0.9314782155402695,0.979725201072386,0.84346361061226,0.6503501622399874,0.8503872505212987,0.4671583514099783,0.6894411621921875,0.8593238010128091,0.6334782691976172,0.806839842061373,0.9318215668751861,0.6558898258275951
2,type_politics,0.9183231748009076,0.9378274537198743,0.9884467265725289,0.9843316414528168,0.9920482099557837,0.9523962344886607,0.9738984732504901,0.9906218799030095,0.8933803395399781,0.8776369363728971,0.9567108828983026,0.7312260922085766,0.9140868148611297,0.9669448010269576,0.7933400987289083,0.898556842470578,0.9830266723719868,0.8521349061305865,0.8838139312190366,0.9500784481529027,0.7799208704253214,0.8610960628900711,0.9504706889174155,0.7014912537195341,0.8514737411606793,0.9655541292255028,0.8190382595140465,0.625073716444243,0.82798459563543,0.44682843763303537,0.7081334001470585,0.877264298958779,0.4972080761106289,0.7531834805377824,0.9274354585651119,0.5774233905611745
3,type_sport,0.9965655051829649,0.993618333309432,0.9984279426056137,0.9995339238173996,0.9998570856914194,0.9872806265363289,0.9917507720808378,0.9913679757617333,0.9809864270149402,0.9335613799409452,0.981363974161093,0.8078860267664412,0.963057634851662,0.9861658949294003,0.8736764413659976,0.977503314284681,0.9931115303264163,0.9494705765463991,0.9488884003113731,0.9830789458640599,0.8511640757921677,0.9684838640118776,0.9897101697821986,0.8561225089647875,0.9763641960441104,0.9944835076887898,0.9022479314637183,0.8471350412536885,0.9412908020350997,0.6699725158869807,0.8863777162696818,0.9553821528611446,0.7012812655050638,0.924032802621325,0.9707883153261303,0.7750870048664963
4,type_tech,0.927382431719134,0.9402082633523682,0.9913698630136987,0.9955089415014664,0.9988698630136987,0.9692201279612658,0.9921535970103617,0.9978082191780822,0.9094454807529252,0.958570114756113,0.9902739726027397,0.8744046569059799,0.9281624956239423,0.9698287671232877,0.8508974870362984,0.8987634532290124,0.9778424657534246,0.8351984542307382,0.9164761187376037,0.9640068493150686,0.777975766215253,0.861882385746982,0.9434931506849316,0.7324286991143252,0.8253153008688122,0.9601027397260273,0.7879606099110547,0.7134437880209222,0.8764383561643835,0.5829428303655109,0.8043708620657322,0.8943150684931507,0.600896860986547,0.8610200845883096,0.9394691780821918,0.6889803525665916
